Date,Value,Anomaly
189501,36.86,-3.63
189502,37.65,-7.17
189503,52.07,-0.94
189504,66.33,2.85
189505,72.81,-0.15
189506,80.89,-0.45
189507,83.91,-2.77
189508,84.9,-0.24
189509,78.73,0.92
189510,64.54,-2.26
189511,50.09,-2.62
189512,42.08,-0.68
189601,41.41,0.92
189602,46.56,1.74
189603,49.42,-3.59
189604,64.38,0.9
189605,74.77,1.81
189606,83.26,1.92
189607,86,-0.68
189608,85.39,0.25
189609,75.27,-2.54
189610,64.11,-2.69
189611,48.47,-4.24
189612,45.79,3.03
189701,37.65,-2.84
189702,43.29,-1.53
189703,49.32,-3.69
189704,63.43,-0.05
189705,74.61,1.65
189706,80.91,-0.43
189707,86.41,-0.27
189708,84.49,-0.65
189709,80.02,2.21
189710,67.68,0.88
189711,52.32,-0.39
189712,40.62,-2.14
189801,40.77,0.28
189802,46.76,1.94
189803,52.36,-0.65
189804,63.54,0.06
189805,72.05,-0.91
189806,81.97,0.63
189807,86.25,-0.43
189808,85.5,0.36
189809,78.69,0.88
189810,63.41,-3.39
189811,49.48,-3.23
189812,38.93,-3.83
189901,39.88,-0.61
189902,36.36,-8.46
189903,48.87,-4.14
189904,62.98,-0.5
189905,72.23,-0.73
189906,81.54,0.2
189907,86.25,-0.43
189908,84.76,-0.38
189909,78.96,1.15
189910,65.91,-0.89
189911,55.9,3.19
189912,41.52,-1.24
190001,44.26,3.77
190002,42.15,-2.67
190003,53.01,0
190004,63.36,-0.12
190005,74.89,1.93
190006,83.53,2.19
190007,86.16,-0.52
190008,85.84,0.7
190009,77,-0.81
190010,67.91,1.11
190011,52.27,-0.44
190012,44.67,1.91
190101,42.17,1.68
190102,40.24,-4.58
190103,52.45,-0.56
190104,61.66,-1.82
190105,74.1,1.14
190106,81.41,0.07
190107,89.96,3.28
190108,86.14,1
190109,75.7,-2.11
190110,68.5,1.7
190111,53.37,0.66
190112,41.95,-0.81
190201,40.93,0.44
190202,41.86,-2.96
190203,52.34,-0.67
190204,63.39,-0.09
190205,74.41,1.45
190206,81.18,-0.16
190207,84.97,-1.71
190208,84.42,-0.72
190209,75.97,-1.84
190210,67.3,0.5
190211,53.55,0.84
190212,40.19,-2.57
190301,40.77,0.28
190302,39.2,-5.62
190303,52.59,-0.42
190304,62.46,-1.02
190305,71.91,-1.05
190306,78.1,-3.24
190307,84.79,-1.89
190308,83.46,-1.68
190309,75.67,-2.14
190310,67.23,0.43
190311,51.71,-1
190312,42.01,-0.75
190401,38.77,-1.72
190402,43.3,-1.52
190403,52.97,-0.04
190404,61.9,-1.58
190405,73.02,0.06
190406,79.93,-1.41
190407,84.16,-2.52
190408,83.55,-1.59
190409,77.74,-0.07
190410,66.61,-0.19
190411,56.16,3.45
190412,42.51,-0.25
190501,36.82,-3.67
190502,37.35,-7.47
190503,55.9,2.89
190504,62.37,-1.11
190505,70.81,-2.15
190506,80.38,-0.96
190507,84.58,-2.1
190508,85.33,0.19
190509,78.85,1.04
190510,63.81,-2.99
190511,53.4,0.69
190512,40.91,-1.85
190601,43.38,2.89
190602,44.94,0.12
190603,46.29,-6.72
190604,65.34,1.86
190605,71.98,-0.98
190606,79.97,-1.37
190607,85.15,-1.53
190608,84.07,-1.07
190609,78.78,0.97
190610,65.03,-1.77
190611,50.72,-1.99
190612,44.24,1.48
190701,40.46,-0.03
190702,47.07,2.25
190703,57.11,4.1
190704,59.52,-3.96
190705,68.14,-4.82
190706,78.17,-3.17
190707,85.24,-1.44
190708,83.57,-1.57
190709,77.13,-0.68
190710,66.36,-0.44
190711,51.87,-0.84
190712,44.62,1.86
190801,43.29,2.8
190802,43.52,-1.3
190803,55.81,2.8
190804,65.68,2.2
190805,70.97,-1.99
190806,79.57,-1.77
190807,86.18,-0.5
190808,83.39,-1.75
190809,79.5,1.69
190810,64.47,-2.33
190811,54.46,1.75
190812,43.39,0.63
190901,42.39,1.9
190902,46.15,1.33
190903,51.35,-1.66
190904,61.5,-1.98
190905,71.04,-1.92
190906,81.46,0.12
190907,85.24,-1.44
190908,86.07,0.93
190909,77.32,-0.49
190910,66.31,-0.49
190911,56.32,3.61
190912,34.79,-7.97
191001,39.81,-0.68
191002,40.8,-4.02
191003,63.1,10.09
191004,67.42,3.94
191005,72.43,-0.53
191006,81.9,0.56
191007,87.64,0.96
191008,84.49,-0.65
191009,78.51,0.7
191010,69.03,2.23
191011,52.07,-0.64
191012,41.97,-0.79
191101,43.41,2.92
191102,44.08,-0.74
191103,56.3,3.29
191104,62.11,-1.37
191105,74.73,1.77
191106,84.25,2.91
191107,85.8,-0.88
191108,84.02,-1.12
191109,78.35,0.54
191110,64.29,-2.51
191111,48.47,-4.24
191112,41.81,-0.95
191201,35.38,-5.11
191202,41.99,-2.83
191203,46.2,-6.81
191204,62.28,-1.2
191205,73.06,0.1
