Date,Value,Anomaly
189501,16.52,-3.23
189502,15.57,-7.25
189503,27.86,-2.13
189504,39.45,0.84
189505,47.05,-0.39
189506,54.72,-0.9
189507,58.55,-1.99
189508,58.32,-0.74
189509,52.38,0.48
189510,37.15,-4.26
189511,28.24,-2.44
189512,21.33,-1.27
189601,21.52,1.77
189602,23.52,0.7
189603,26.62,-3.37
189604,40.32,1.71
189605,50.14,2.7
189606,56.52,0.9
189607,61.34,0.8
189608,59.13,0.07
189609,50.59,-1.31
189610,39.69,-1.72
189611,28.17,-2.51
189612,25.32,2.72
189701,18.66,-1.09
189702,23.49,0.67
189703,28.27,-1.72
189704,38.88,0.27
189705,47.71,0.27
189706,55.31,-0.31
189707,60.3,-0.24
189708,58.19,-0.87
189709,52.77,0.87
189710,42.51,1.1
189711,29.48,-1.2
189712,20.88,-1.72
189801,20.57,0.82
189802,23.97,1.15
189803,29.75,-0.24
189804,38.05,-0.56
189805,47.82,0.38
189806,56.66,1.04
189807,60.31,-0.23
189808,59.99,0.93
189809,52.23,0.33
189810,39.54,-1.87
189811,27.28,-3.4
189812,18.41,-4.19
189901,19.49,-0.26
189902,14.65,-8.17
189903,26.38,-3.61
189904,38.23,-0.38
189905,47.57,0.13
189906,55.74,0.12
189907,59.88,-0.66
189908,58.69,-0.37
189909,50.61,-1.29
189910,42.04,0.63
189911,33.94,3.26
189912,21.72,-0.88
190001,23.94,4.19
190002,19.36,-3.46
190003,29.53,-0.46
190004,39.87,1.26
190005,48.58,1.14
190006,57.06,1.44
190007,60.12,-0.42
190008,59.88,0.82
190009,53.26,1.36
190010,44.8,3.39
190011,30.81,0.13
190012,24.3,1.7
190101,21.09,1.34
190102,19.49,-3.33
190103,28.98,-1.01
190104,37.09,-1.52
190105,48.22,0.78
190106,55.44,-0.18
190107,62.55,2.01
190108,60.24,1.18
190109,50.79,-1.11
190110,42.39,0.98
190111,30,-0.68
190112,20.98,-1.62
190201,19.18,-0.57
190202,21.06,-1.76
190203,30.79,0.8
190204,38.3,-0.31
190205,49.57,2.13
190206,54.88,-0.74
190207,59.11,-1.43
190208,58.3,-0.76
190209,49.53,-2.37
190210,41.56,0.15
190211,33.82,3.14
190212,21.4,-1.2
190301,21,1.25
190302,17.62,-5.2
190303,31.8,1.81
190304,37.94,-0.67
190305,47.17,-0.27
190306,53.65,-1.97
190307,59.07,-1.47
190308,58.46,-0.6
190309,49.78,-2.12
190310,40.64,-0.77
190311,28.74,-1.94
190312,19.09,-3.51
190401,16.34,-3.41
190402,19.87,-2.95
190403,30.54,0.55
190404,37,-1.61
190405,47.26,-0.18
190406,54.57,-1.05
190407,58.53,-2.01
190408,57.87,-1.19
190409,52.16,0.26
190410,41.23,-0.18
190411,30.13,-0.55
190412,21.52,-1.08
190501,17.4,-2.35
190502,16.56,-6.26
190503,34.34,4.35
190504,38.59,-0.02
190505,47.48,0.04
190506,55.62,0
190507,59.36,-1.18
190508,59.41,0.35
190509,53.04,1.14
190510,39.47,-1.94
190511,31.06,0.38
190512,21.07,-1.53
190601,22.37,2.62
190602,22.42,-0.4
190603,25.9,-4.09
190604,40.1,1.49
190605,47.17,-0.27
190606,54.66,-0.96
190607,59.56,-0.98
190608,59.61,0.55
190609,53.71,1.81
190610,40.05,-1.36
190611,30.16,-0.52
190612,25.7,3.1
190701,20.93,1.18
190702,23.85,1.03
190703,34.29,4.3
190704,35.55,-3.06
190705,43.63,-3.81
190706,53.2,-2.42
190707,59.76,-0.78
190708,57.97,-1.09
190709,51.31,-0.59
190710,41.22,-0.19
190711,29.77,-0.91
190712,24.76,2.16
190801,21.61,1.86
190802,22.48,-0.34
190803,32.02,2.03
190804,39.79,1.18
190805,46.65,-0.79
190806,54.25,-1.37
190807,60.19,-0.35
190808,57.96,-1.1
190809,51.66,-0.24
190810,39.06,-2.35
190811,30.6,-0.08
190812,23.23,0.63
190901,22.24,2.49
190902,23.9,1.08
190903,29.37,-0.62
190904,36.41,-2.2
190905,45.23,-2.21
190906,56.41,0.79
190907,60.01,-0.53
190908,59.77,0.71
190909,51.46,-0.44
190910,39.45,-1.96
190911,33.75,3.07
190912,16.45,-6.15
191001,19.4,-0.35
191002,17.82,-5
191003,35.76,5.77
191004,39.81,1.2
191005,45.97,-1.47
191006,54.66,-0.96
191007,60.6,0.06
191008,57.72,-1.34
191009,52.83,0.93
191010,42.19,0.78
191011,30.18,-0.5
191012,21.87,-0.73
191101,22.41,2.66
191102,23.25,0.43
191103,31.75,1.76
191104,37.87,-0.74
191105,47.66,0.22
