Date,Value,Anomaly
189501,1.47,0.99
189502,-0.45,-0.95
189503,-0.83,-1.2
189504,-1.42,-1.74
189505,0.04,-0.3
189506,0.2,-0.09
189507,0.77,0.39
189508,0.93,0.48
189509,-0.89,-1.34
189510,-1.42,-1.85
189511,0.05,-0.37
189512,0.1,-0.33
189601,0.28,-0.2
189602,0.31,-0.19
189603,0.45,0.08
189604,-0.03,-0.35
189605,-0.24,-0.58
189606,-0.59,-0.88
189607,-0.27,-0.65
189608,-0.93,-1.38
189609,0.46,0.01
189610,0.63,0.2
189611,1.5,1.08
189612,1.1,0.67
189701,1.25,0.77
189702,1.96,1.46
189703,3.11,2.74
189704,-0.05,-0.37
189705,-0.88,-1.22
189706,-0.83,-1.12
189707,-0.73,-1.11
189708,-0.97,-1.42
189709,-1.94,-2.39
189710,-2.13,-2.56
189711,-2.1,-2.52
189712,-2.06,-2.49
189801,-1.88,-2.36
189802,-2.02,-2.52
189803,-1.89,-2.26
189804,-2.09,-2.41
189805,0.36,0.02
189806,0.47,0.18
189807,0.8,0.42
189808,1.33,0.88
189809,1.05,0.6
189810,1.55,1.12
189811,1.85,1.43
189812,1.68,1.25
189901,2.11,1.63
189902,2.28,1.78
189903,2.66,2.29
189904,-0.6,-0.92
189905,-0.63,-0.97
189906,-0.47,-0.76
189907,-0.12,-0.5
189908,-0.34,-0.79
189909,-1.21,-1.66
189910,-0.83,-1.26
189911,-1.22,-1.64
189912,-1.32,-1.75
190001,-1.8,-2.28
190002,0.61,0.11
190003,0.31,-0.06
190004,1.13,0.81
190005,-0.6,-0.94
190006,-0.61,-0.9
190007,-0.41,-0.79
190008,-0.67,-1.12
190009,0.39,-0.06
190010,0.7,0.27
190011,0.79,0.37
190012,-0.44,-0.87
190101,-0.73,-1.21
190102,-0.42,-0.92
190103,-0.55,-0.92
190104,-0.24,-0.56
190105,-0.54,-0.88
190106,-0.74,-1.03
190107,-1.46,-1.84
190108,-1.34,-1.79
190109,-1,-1.45
190110,-1.6,-2.03
190111,-2.43,-2.85
190112,-2.74,-3.17
190201,-3.7,-4.18
190202,-3.39,-3.89
190203,-2.67,-3.04
190204,-2.96,-3.28
190205,-2.77,-3.11
190206,0.07,-0.22
190207,0.57,0.19
190208,0.44,-0.01
190209,0.89,0.44
190210,0.64,0.21
190211,1.09,0.67
190212,1.71,1.28
190301,2.18,1.7
190302,3.06,2.56
190303,3.17,2.8
190304,2.48,2.16
190305,2.44,2.1
190306,2.49,2.2
190307,2.89,2.51
190308,3.51,3.06
190309,-0.03,-0.48
190310,-0.25,-0.68
190311,-0.43,-0.85
190312,-1.07,-1.5
190401,-1.66,-2.14
190402,0.41,-0.09
190403,0.92,0.55
190404,0.69,0.37
190405,0.35,0.01
190406,0.68,0.39
190407,1.1,0.72
190408,1.45,1
190409,-0.08,-0.53
190410,-0.43,-0.86
190411,-1.6,-2.02
190412,-2.2,-2.63
190501,-2.7,-3.18
190502,0.13,-0.37
190503,0.19,-0.18
190504,0.56,0.24
190505,1.45,1.11
190506,1.8,1.51
190507,2.87,2.49
190508,3.03,2.58
190509,2.82,2.37
190510,2.86,2.43
190511,2.75,2.33
190512,2.82,2.39
190601,3.21,2.73
190602,2.68,2.18
190603,3.59,3.22
190604,2.65,2.33
190605,2.72,2.38
190606,2.77,2.48
190607,3.43,3.05
190608,4.39,3.94
190609,4.37,3.92
190610,4.14,3.71
190611,4.33,3.91
190612,4.9,4.47
190701,5.42,4.94
190702,4.68,4.18
190703,3.7,3.33
190704,3.58,3.26
190705,4.29,3.95
190706,4.42,4.13
190707,4.75,4.37
190708,4.72,4.27
190709,4.43,3.98
190710,3.99,3.56
190711,3.79,3.37
190712,3.88,3.45
190801,3.66,3.18
190802,4.15,3.65
190803,3.12,2.75
190804,2.82,2.5
190805,3.88,3.54
190806,3.83,3.54
190807,4.08,3.7
190808,4.39,3.94
190809,3.33,2.88
190810,3.16,2.73
190811,2.38,1.96
190812,1.55,1.12
190901,1.45,0.97
190902,2.15,1.65
190903,1.7,1.33
190904,1.6,1.28
190905,1.84,1.5
190906,1.99,1.7
190907,2.44,2.06
190908,2.22,1.77
190909,1.89,1.44
190910,1.31,0.88
190911,1.5,1.08
190912,1.67,1.24
191001,1.75,1.27
191002,1.79,1.29
191003,-2.38,-2.75
191004,-3.17,-3.49
191005,-3.1,-3.44
191006,-3.15,-3.44
191007,-3.24,-3.62
191008,-3.38,-3.83
191009,-3.47,-3.92
191010,-3.36,-3.79
191011,-3.68,-4.1
191012,-4.38,-4.81
191101,-4.65,-5.13
191102,-4.38,-4.88
191103,-5.02,-5.39
191104,-4.01,-4.33
191105,-4.57,-4.91
191106,-5.12,-5.41
191107,-4.98,-5.36
191108,0.34,-0.11
191109,0.41,-0.04
191110,0.81,0.38
191111,0.9,0.48
191112,1.42,0.99
191201,1.58,1.1
191202,1.43,0.93
191203,2.62,2.25
191204,3.25,2.93
191205,2.89,2.55
191206,2.64,2.35
191207,2.83,2.45
191208,3.4,2.95
191209,3.38,2.93
191210,3.2,2.77
191211,2.38,1.96
191212,1.92,1.49
191301,2.14,1.66
191302,1.94,1.44
191303,2.45,2.08
191304,-0.43,-0.75
191305,-0.72,-1.06
191306,-0.78,-1.07
191307,-0.83,-1.21
191308,-1.7,-2.15
191309,0.71,0.26
191310,1.2,0.77
191311,0.97,0.55
191312,0.88,0.45
191401,1.04,0.56
191402,1.12,0.62
191403,-0.64,-1.01
191404,-0.31,-0.63
191405,-0.77,-1.11
191406,-0.81,-1.1
191407,-1.23,-1.61
191408,0.47,0.02
191409,-0.28,-0.73
191410,-0.02,-0.45
191411,-0.83,-1.25
191412,-1.04,-1.47
191501,0.11,-0.37
191502,0.81,0.31
191503,-0.68,-1.05
191504,-1.17,-1.49
191505,1.21,0.87
191506,1.67,1.38
191507,2.94,2.56
191508,4.36,3.91
191509,4.49,4.04
191510,3.84,3.41
191511,3.62,3.2
191512,3.97,3.54
191601,5.4,4.92
191602,4.72,4.22
191603,3.76,3.39
191604,3.11,2.79
191605,2.9,2.56
191606,3.21,2.92
191607,3.66,3.28
191608,3.54,3.09
191609,-0.29,-0.74
191610,-0.06,-0.49
191611,-0.51,-0.93
191612,-0.68,-1.11
191701,-0.76,-1.24
191702,-0.75,-1.25
191703,0.21,-0.16
191704,0.68,0.36
191705,1.02,0.68
191706,-0.22,-0.51
191707,-0.34,-0.72
191708,-0.41,-0.86
191709,-0.6,-1.05
191710,-0.88,-1.31
191711,-2.25,-2.67
191712,-3.44,-3.87
191801,-4.18,-4.66
191802,-4.87,-5.37
191803,-5.49,-5.86
191804,-4.34,-4.66
191805,-4.24,-4.58
191806,-4.69,-4.98
191807,-4.92,-5.3
191808,-4.9,-5.35
191809,0.19,-0.26
191810,0.65,0.22
191811,0.71,0.29
191812,0.91,0.48
191901,0.83,0.35
191902,1.47,0.97
191903,1.55,1.18
191904,1.31,0.99
191905,1.5,1.16
191906,1.39,1.1
191907,1.65,1.27
191908,1.46,1.01
191909,1.12,0.67
191910,2.34,1.91
191911,3.16,2.74
191912,3.41,2.98
192001,3.66,3.18
192002,2.97,2.47
192003,3.03,2.66
192004,4.01,3.69
192005,3.63,3.29
192006,3.41,3.12
192007,3.25,2.87
192008,4.05,3.6
192009,3.62,3.17
192010,3.3,2.87
192011,3.2,2.78
192012,3.42,2.99
192101,3.45,2.97
192102,-0.3,-0.8
192103,-0.79,-1.16
192104,-0.39,-0.71
192105,-0.64,-0.98
192106,-0.74,-1.03
192107,-0.8,-1.18
192108,-0.82,-1.27
192109,-0.84,-1.29
192110,-1.48,-1.91
192111,-1.47,-1.89
192112,-1.76,-2.19
192201,-2.07,-2.55
192202,0.53,0.03
192203,1.53,1.16
192204,2.06,1.74
192205,1.93,1.59
192206,-0.32,-0.61
192207,-0.16,-0.54
192208,-0.59,-1.04
192209,-1.8,-2.25
192210,-2.09,-2.52
192211,-2.33,-2.75
192212,-2.37,-2.8
192301,-2.36,-2.84
192302,-0.02,-0.52
192303,0.16,-0.21
192304,0.64,0.32
192305,0.9,0.56
192306,1.3,1.01
192307,1.48,1.1
192308,1.95,1.5
192309,2.14,1.69
192310,2.6,2.17
192311,2.28,1.86
192312,2.65,2.22
192401,2.8,2.32
192402,-0.16,-0.66
192403,-0.11,-0.48
192404,-0.2,-0.52
192405,-0.31,-0.65
192406,-0.38,-0.67
192407,-0.55,-0.93
192408,-0.94,-1.39
192409,-0.22,-0.67
192410,-0.8,-1.23
192411,-1.72,-2.14
192412,-1.98,-2.41
192501,-2.23,-2.71
192502,-2.36,-2.86
192503,-3.38,-3.75
192504,-3.83,-4.15
192505,-4.33,-4.67
192506,-4.1,-4.39
192507,-4.13,-4.51
192508,-4.44,-4.89
192509,0.14,-0.31
192510,1.33,0.9
192511,1.44,1.02
192512,1.17,0.74
192601,1.32,0.84
192602,-0.07,-0.57
192603,-0.13,-0.5
192604,-0.27,-0.59
192605,-0.97,-1.31
192606,-1.27,-1.56
192607,-1.3,-1.68
192608,0.52,0.07
192609,1.27,0.82
192610,1.41,0.98
192611,1.99,1.57
192612,2.52,2.09
192701,2.51,2.03
192702,2.81,2.31
192703,2.51,2.14
192704,2.75,2.43
192705,2.63,2.29
192706,2.76,2.47
192707,2.94,2.56
192708,3.25,2.8
192709,2.99,2.54
192710,2.78,2.35
192711,2.89,2.47
192712,3.22,2.79
192801,2.75,2.27
192802,2.36,1.86
