Date,Value,Anomaly
189501,3.32,1.01
189502,1.41,-0.72
189503,1.99,-0.52
189504,1.99,-0.53
189505,2.88,-0.03
189506,2.95,0.02
189507,3,0.22
189508,2.53,-0.09
189509,1.58,-0.91
189510,1.08,-1.08
189511,2.29,0.06
189512,2.53,0.18
189601,2.4,0.09
189602,2.05,-0.08
189603,2.41,-0.1
189604,2.59,0.07
189605,2.96,0.05
189606,2.64,-0.29
189607,3.22,0.44
189608,2,-0.62
189609,2.78,0.29
189610,2.15,-0.01
189611,3.07,0.84
189612,1.5,-0.85
189701,2.39,0.08
189702,2.79,0.66
189703,3.62,1.11
189704,2.42,-0.1
189705,2.12,-0.79
189706,2.88,-0.05
189707,2.93,0.15
189708,2.3,-0.32
189709,1.57,-0.92
189710,1.83,-0.33
189711,2.29,0.06
189712,2.56,0.21
189801,2.43,0.12
189802,1.65,-0.48
189803,2.42,-0.09
189804,2.02,-0.5
189805,3.23,0.32
189806,3.07,0.14
189807,2.88,0.1
189808,3.06,0.44
189809,2.33,-0.16
189810,2.5,0.34
189811,2.26,0.03
189812,1.72,-0.63
189901,2.61,0.3
189902,2.28,0.15
189903,2.82,0.31
189904,1.78,-0.74
189905,2.74,-0.17
189906,2.97,0.04
189907,2.95,0.17
189908,2.26,-0.36
189909,1.54,-0.95
189910,2.41,0.25
189911,1.99,-0.24
189912,2.36,0.01
190001,1.74,-0.57
190002,2.52,0.39
190003,2.28,-0.23
190004,3.41,0.89
190005,2.45,-0.46
190006,3.03,0.1
190007,3.07,0.29
190008,2.42,-0.2
190009,2.93,0.44
190010,2.75,0.59
190011,2.37,0.14
190012,1.66,-0.69
190101,1.99,-0.32
190102,2.13,0
190103,2.29,-0.22
190104,2.53,0.01
190105,2.66,-0.25
190106,2.6,-0.33
190107,2.32,-0.46
190108,2.97,0.35
190109,2.58,0.09
190110,1.51,-0.65
190111,1.45,-0.78
190112,2.6,0.25
190201,1.45,-0.86
190202,2.56,0.43
190203,2.9,0.39
190204,1.85,-0.67
190205,3,0.09
190206,2.89,-0.04
190207,3.09,0.31
190208,2.3,-0.32
190209,2.74,0.25
190210,1.93,-0.23
190211,2.99,0.76
190212,2.93,0.58
190301,2.27,-0.04
190302,3.03,0.9
190303,3.01,0.5
190304,1.99,-0.53
190305,3.01,0.1
190306,2.88,-0.05
190307,2.97,0.19
190308,3.04,0.42
190309,2.12,-0.37
190310,1.77,-0.39
190311,1.83,-0.4
190312,1.44,-0.91
190401,1.81,-0.5
190402,2.43,0.3
190403,3.1,0.59
190404,2.12,-0.4
190405,2.59,-0.32
190406,3.11,0.18
190407,2.93,0.15
190408,2.69,0.07
190409,2.33,-0.16
190410,1.66,-0.5
190411,1.02,-1.21
190412,2.16,-0.19
190501,2.18,-0.13
190502,2.35,0.22
190503,2.94,0.43
190504,2.8,0.28
190505,3.74,0.83
190506,3.3,0.37
190507,3.52,0.74
190508,2.54,-0.08
190509,2.57,0.08
190510,2.17,0.01
190511,2.19,-0.04
190512,2.3,-0.05
190601,2.53,0.22
190602,1.72,-0.41
190603,3.26,0.75
190604,2.08,-0.44
190605,3.16,0.25
190606,3.04,0.11
190607,3.3,0.52
190608,3.39,0.77
190609,2.91,0.42
190610,2.08,-0.08
190611,2.49,0.26
190612,2.88,0.53
190701,2.75,0.44
190702,1.82,-0.31
190703,2.45,-0.06
190704,2.32,-0.2
190705,3.45,0.54
190706,3.12,0.19
190707,3,0.22
190708,2.55,-0.07
190709,2.51,0.02
190710,2.03,-0.13
190711,2.25,0.02
190712,2.69,0.34
190801,1.82,-0.49
190802,2.81,0.68
190803,2.18,-0.33
190804,2.69,0.17
190805,4.13,1.22
190806,3.02,0.09
190807,3.01,0.23
190808,2.88,0.26
190809,1.83,-0.66
190810,2.03,-0.13
190811,1.67,-0.56
190812,1.73,-0.62
190901,2.74,0.43
190902,2.88,0.75
190903,2.21,-0.3
190904,2.28,-0.24
190905,3.04,0.13
190906,3.23,0.3
190907,3.03,0.25
190908,2.41,-0.21
190909,2.28,-0.21
190910,1.54,-0.62
190911,2.95,0.72
190912,2.6,0.25
191001,2.15,-0.16
191002,2.11,-0.02
191003,1.02,-1.49
191004,2.06,-0.46
191005,2.59,-0.32
191006,2.48,-0.45
191007,2.59,-0.19
191008,2.25,-0.37
191009,2.17,-0.32
191010,2.04,-0.12
191011,1.76,-0.47
191012,1.69,-0.66
191101,2.44,0.13
191102,2.13,0
191103,1.71,-0.8
191104,2.85,0.33
191105,1.97,-0.94
191106,2.2,-0.73
191107,2.86,0.08
191108,3.06,0.44
191109,2.75,0.26
191110,2.49,0.33
191111,2.11,-0.12
191112,2.95,0.6
191201,1.95,-0.36
191202,1.9,-0.23
191203,3.39,0.88
191204,3.34,0.82
191205,2.89,-0.02
191206,2.71,-0.22
191207,2.99,0.21
191208,3.05,0.43
191209,2.51,0.02
191210,2.13,-0.03
191211,1.52,-0.71
191212,2.1,-0.25
191301,2.87,0.56
191302,1.9,-0.23
191303,2.99,0.48
191304,2.05,-0.47
191305,2.51,-0.4
191306,2.71,-0.22
191307,2.64,-0.14
191308,1.9,-0.72
191309,3.13,0.64
191310,2.52,0.36
191311,2.31,0.08
191312,2.31,-0.04
191401,2.5,0.19
191402,2.08,-0.05
191403,1.85,-0.66
191404,2.73,0.21
191405,2.48,-0.43
191406,2.85,-0.08
191407,2.45,-0.33
191408,3.17,0.55
191409,2.18,-0.31
191410,2.51,0.35
191411,1.51,-0.72
191412,2.5,0.15
191501,2.75,0.44
191502,2.77,0.64
191503,1.51,-1
191504,2.32,-0.2
191505,3.89,0.98
191506,3.18,0.25
191507,3.57,0.79
191508,3.43,0.81
191509,2.77,0.28
191510,1.85,-0.31
191511,2.1,-0.13
191512,2.63,0.28
191601,3.79,1.48
191602,1.77,-0.36
191603,2.13,-0.38
191604,2.09,-0.43
191605,2.88,-0.03
191606,3.24,0.31
191607,3.22,0.44
191608,2.53,-0.09
191609,1.98,-0.51
191610,2.1,-0.06
191611,1.51,-0.72
191612,2.18,-0.17
191701,2.19,-0.12
191702,1.81,-0.32
191703,2.48,-0.03
191704,2.68,0.16
191705,2.64,-0.27
191706,2.44,-0.49
191707,2.51,-0.27
191708,2.44,-0.18
191709,2.17,-0.32
191710,1.38,-0.78
191711,0.95,-1.28
191712,1.66,-0.69
191801,2.41,0.1
191802,1.72,-0.41
191803,1.85,-0.66
191804,2.82,0.3
191805,2.59,-0.32
191806,2.25,-0.68
191807,2.33,-0.45
191808,2.47,-0.15
191809,2.44,-0.05
191810,2.92,0.76
191811,2.32,0.09
191812,2.66,0.31
191901,1.91,-0.4
191902,2.64,0.51
191903,2.71,0.2
191904,2.41,-0.11
191905,3.2,0.29
191906,2.97,0.04
191907,3.04,0.26
191908,2.48,-0.14
191909,2.34,-0.15
191910,3.45,1.29
191911,2.8,0.57
191912,1.81,-0.54
192001,2.21,-0.1
192002,1.61,-0.52
192003,2.78,0.27
192004,3.3,0.78
192005,2.79,-0.12
192006,2.89,-0.04
192007,2.7,-0.08
192008,3.4,0.78
192009,2.44,-0.05
192010,2.17,0.01
192011,2.26,0.03
192012,2.75,0.4
192101,2.11,-0.2
192102,1.77,-0.36
192103,2.52,0.01
192104,2.79,0.27
192105,2.55,-0.36
192106,2.9,-0.03
192107,2.86,0.08
192108,2.6,-0.02
192109,2.57,0.08
192110,1.46,-0.7
192111,2.41,0.18
192112,2.24,-0.11
192201,2.03,-0.28
192202,2.44,0.31
192203,3.46,0.95
192204,3.08,0.56
192205,3.11,0.2
192206,2.7,-0.23
192207,2.89,0.11
192208,2.23,-0.39
192209,1.47,-1.02
192210,1.73,-0.43
192211,2.08,-0.15
192212,2.67,0.32
192301,2.44,0.13
192302,1.86,-0.27
192303,2.42,-0.09
192304,2.84,0.32
192305,3.13,0.22
192306,3.3,0.37
192307,2.7,-0.08
192308,2.92,0.3
192309,2.83,0.34
192310,2.53,0.37
192311,1.88,-0.35
192312,2.83,0.48
192401,2,-0.31
192402,1.83,-0.3
192403,2.22,-0.29
192404,2.26,-0.26
192405,2.42,-0.49
192406,2.77,-0.16
192407,2.37,-0.41
192408,2.21,-0.41
192409,2.92,0.43
192410,1.53,-0.63
192411,1.37,-0.86
192412,2.62,0.27
192501,2.29,-0.02
192502,1.78,-0.35
192503,1.56,-0.95
192504,2.1,-0.42
192505,1.92,-0.99
192506,2.91,-0.02
192507,2.65,-0.13
192508,2.06,-0.56
192509,2.88,0.39
192510,2.99,0.83
192511,2.16,-0.07
192512,1.66,-0.69
192601,2.36,0.05
192602,2.05,-0.08
192603,2.31,-0.2
192604,2.18,-0.34
192605,2.21,-0.7
192606,2.49,-0.44
192607,2.86,0.08
192608,3.22,0.6
192609,3.23,0.74
192610,2.49,0.33
192611,2.87,0.64
192612,2.67,0.32
192701,1.77,-0.54
192702,2.72,0.59
192703,2.59,0.08
192704,3.05,0.53
192705,2.99,0.08
192706,3.12,0.19
192707,2.84,0.06
192708,2.72,0.1
192709,2.48,-0.01
192710,2.35,0.19
192711,2.75,0.52
192712,2.68,0.33
192801,1.28,-1.03
192802,1.84,-0.29
192803,2.39,-0.12
192804,2.92,0.4
192805,2.34,-0.57
192806,4.28,1.35
192807,3.07,0.29
192808,3.15,0.53
192809,2.11,-0.38
192810,2.23,0.07
192811,2.15,-0.08
192812,1.74,-0.61
192901,2.36,0.05
192902,2.02,-0.11
192903,2.81,0.3
192904,2.93,0.41
192905,3.51,0.6
192906,2.63,-0.3
192907,2.57,-0.21
192908,1.8,-0.82
192909,2.75,0.26
192910,2.6,0.44
192911,1.96,-0.27
192912,2.21,-0.14
193001,2.58,0.27
193002,1.74,-0.39
193003,1.98,-0.53
193004,1.83,-0.69
193005,3.17,0.26
193006,2.33,-0.6
193007,1.79,-0.99
193008,1.96,-0.66
193009,2.33,-0.16
193010,2.31,0.15
193011,2.28,0.05
193012,1.28,-1.07
193101,1.56,-0.75
193102,1.84,-0.29
193103,2.31,-0.2
193104,2.07,-0.45
193105,2.29,-0.62
193106,2.14,-0.79
193107,2.71,-0.07
193108,2.72,0.1
193109,2.06,-0.43
193110,1.9,-0.26
193111,2.54,0.31
193112,3.38,1.03
193201,3.25,0.94
193202,2.23,0.1
193203,2.31,-0.2
193204,2.14,-0.38
193205,2.42,-0.49
193206,3.06,0.13
193207,2.6,-0.18
193208,2.85,0.23
193209,2.16,-0.33
193210,2.48,0.32
193211,2.02,-0.21
193212,2.92,0.57
193301,2.25,-0.06
193302,1.94,-0.19
193303,2.47,-0.04
193304,2.54,0.02
193305,3.39,0.48
193306,1.45,-1.48
193307,2.83,0.05
193308,2.86,0.24
193309,2.4,-0.09
193310,1.66,-0.5
193311,1.05,-1.18
193312,2.66,0.31
193401,1.82,-0.49
193402,1.65,-0.48
193403,2.34,-0.17
193404,1.77,-0.75
193405,1.81,-1.1
193406,2.59,-0.34
193407,2.07,-0.71
193408,2.26,-0.36
193409,2.87,0.38
193410,1.69,-0.47
193411,3,0.77
193412,1.92,-0.43
193501,2.4,0.09
193502,1.7,-0.43
193503,2.74,0.23
193504,2.73,0.21
193505,3.72,0.81
193506,3.19,0.26
193507,2.65,-0.13
193508,2.46,-0.16
193509,2.46,-0.03
193510,1.62,-0.54
193511,2.04,-0.19
193512,1.77,-0.58
193601,2.88,0.57
193602,2.62,0.49
193603,2.1,-0.41
193604,2,-0.52
193605,2.25,-0.66
193606,1.91,-1.02
193607,2.31,-0.47
193608,2.21,-0.41
193609,2.99,0.5
193610,2.08,-0.08
193611,1.14,-1.09
193612,2.79,0.44
193701,3.65,1.34
193702,2.22,0.09
